stage,component_id,truth_component,center_x_m,center_y_m,radius_m,center_error_m,radius_error_m,tolerance_m,pass
T3,A,A,0.42999999999022304,0.5,0.03500000000067147,9.776957021756516e-12,6.714698241871986e-13,0.002,True
T3,td_birth_001,B,0.5700000000177191,0.5,0.03499999998780122,1.7719048450715036e-11,1.2198783649886025e-11,0.002,True
T4,A_wrong,A,0.42999999999610883,0.5,0.034999999999804826,3.89116516785748e-12,1.9517720772910252e-13,0.003,True
T4,td_birth_001,B,0.570000000006721,0.5,0.0349999999965699,6.72095712417331e-12,3.4301034235184602e-12,0.003,True
