stage,training_relative_l2,1.50_GHz,2.50_GHz
T3,4.5382386479107805e-10,2.918940685005045e-09,3.5775721923456056e-09
T4,1.610525443652563e-10,9.337233301573925e-10,1.3073810271579196e-09
