phase,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,component_0_id,component_0_radius_m,component_0_center_x_m,component_0_center_y_m,component_1_id,component_1_radius_m,component_1_center_x_m,component_1_center_y_m
one_component_pre_stage,0,0.24245954061578334,0.6963613151457848,0.001,7,4.178453373300295e-16,1,A_wrong,0.035,0.42,0.5,,,,
one_component_pre_stage,1,0.19296667621611846,0.6212353438369691,0.001,14,4.3013793710133716e-16,1,A_wrong,0.03918303912376504,0.4356816606634525,0.49999999999999706,,,,
one_component_pre_stage,2,0.18447968571263235,0.6074202593141464,0.0003,21,4.367194914179309e-16,1,A_wrong,0.04007869214216074,0.43008536819730997,0.5000000000000007,,,,
one_component_pre_stage,3,0.1836651366126204,0.606077778197849,8.999999999999999e-05,28,4.227879233547915e-16,1,A_wrong,0.04072515716310582,0.4318431332615006,0.5,,,,
one_component_pre_stage,4,0.1835869290980227,0.6059487257153411,2.6999999999999996e-05,35,4.297058803270252e-16,1,A_wrong,0.040501281589916935,0.4313095695101803,0.49999999999999856,,,,
one_component_pre_stage,5,0.1835795957919572,0.6059366234053811,8.099999999999999e-06,42,4.423556841194829e-16,1,A_wrong,0.04058636969049666,0.4314695438434044,0.49999999999999983,,,,
one_component_pre_stage,6,0.18357888630292918,0.6059354525078217,2.4299999999999996e-06,49,4.2612847609409e-16,1,A_wrong,0.04055906265402736,0.43142014431757575,0.500000000000001,,,,
one_component_pre_stage,7,0.18357881788374025,0.6059353395928321,7.289999999999998e-07,56,4.2613662008432073e-16,1,A_wrong,0.040567767084033195,0.4314353995317385,0.5000000000000011,,,,
one_component_pre_stage,8,0.18357881131697742,0.6059353287554332,2.1869999999999994e-07,63,4.301187603611355e-16,1,A_wrong,0.040565044932362786,0.4314306676731249,0.49999999999999994,,,,
one_component_pre_stage,9,0.18357881067211645,0.6059353276911927,6.560999999999998e-08,70,4.3851679159491904e-16,1,A_wrong,0.040565893843585624,0.4314321360635239,0.5000000000000006,,,,
one_component_pre_stage,10,0.1835788106134627,0.605935327594394,1.9682999999999992e-08,77,4.332020368008864e-16,1,A_wrong,0.04056562982466792,0.431431680104832,0.49999999999999817,,,,
one_component_pre_stage,11,0.1835788106066984,0.6059353275832307,5.904899999999998e-09,84,4.3821633507879485e-16,1,A_wrong,0.04056571188342279,0.4314318217051479,0.49999999999999717,,,,
one_component_pre_stage,12,0.1835788106063892,0.6059353275827203,1.7714699999999993e-09,91,4.249748747779917e-16,1,A_wrong,0.04056568638975835,0.43143177772623426,0.49999999999999745,,,,
two_component_refinement,0,0.0953988253128142,0.436803904086981,0.001,13,5.5073745405651e-16,2,A_wrong,0.04056568638975835,0.43143177772623426,0.49999999999999745,td_birth_001,0.015621702193025446,0.5733333333333333,0.5000000000000001
two_component_refinement,1,0.002242174046077199,0.06696527527125086,0.001,26,5.673725616507835e-16,2,A_wrong,0.03639802959116648,0.4303909748814891,0.4999999999999976,td_birth_001,0.03562170219302545,0.5675552003745026,0.499999999999995
two_component_refinement,2,3.4695004497168082e-06,0.0026341983409442844,0.0003,39,5.655879355067722e-16,2,A_wrong,0.034982640454985295,0.43005035549391735,0.49999999999999967,td_birth_001,0.034929292921372056,0.5699316384335344,0.4999999999999999
two_component_refinement,3,1.2146036333906108e-11,4.92869888183608e-06,8.999999999999999e-05,52,5.705461166209614e-16,2,A_wrong,0.034999973688098804,0.42999996013143177,0.5,td_birth_001,0.03499992241117677,0.5700002127934377,0.5
two_component_refinement,4,1.2968961023261416e-20,1.610525443652563e-10,2.6999999999999996e-05,65,5.698126276557472e-16,2,A_wrong,0.034999999999804826,0.42999999999610883,0.5,td_birth_001,0.0349999999965699,0.570000000006721,0.5
