factor,radius_m,production_loss,refined_loss,production_delta,refined_delta,accepted,rejection_reason,state
1.0,0.015621702193025446,0.10157319972931943,0.10157319972931964,-0.0932162596961635,-0.0932162596961634,True,,"[0.035, 0.43, 0.5, 0.015621702193025446, 0.5733333333333333, 0.5000000000000001]"
0.75,0.011716276644769085,0.1360478206874911,0.13604782068749144,-0.05874163873799182,-0.0587416387379916,True,,"[0.035, 0.43, 0.5, 0.011716276644769085, 0.5733333333333333, 0.5000000000000001]"
0.5,0.007810851096512723,0.16631884401677197,0.16631884401677183,-0.02847061540871096,-0.02847061540871121,True,,"[0.035, 0.43, 0.5, 0.007810851096512723, 0.5733333333333333, 0.5000000000000001]"
0.35,0.005467595767558906,0.18030179508503305,0.18030179508503302,-0.014487664340449874,-0.014487664340450013,True,,"[0.035, 0.43, 0.5, 0.005467595767558906, 0.5733333333333333, 0.5000000000000001]"
