factor,radius_m,production_loss,refined_loss,production_delta,refined_delta,accepted,rejection_reason
1.0,0.01617780769985051,0.31920602339169224,0.3192060233916928,-0.1081276370942067,-0.10812763709420614,True,
0.75,0.012133355774887881,0.35933948060235366,0.3593394806023539,-0.06799417988354528,-0.06799417988354506,True,
0.5,0.008088903849925255,0.3944057347941419,0.394405734794142,-0.03292792569175701,-0.032927925691756954,True,
0.35,0.005662232694947678,0.4105795257008148,0.4105795257008147,-0.01675413478508414,-0.01675413478508425,True,
