recovered_component,truth_component,symmetric_hausdorff_m,center_distance_m,maximum_mode
far_initial,truth_A,0.12000122423811148,0.10373916157695671,1
td_birth_001,truth_B,0.14496734790738586,0.13788365476008696,1
