iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,loss,relative_l2_error,applied_damping,accepted_backtrack_count,maximum_coefficient_step_m,curve_change_m,maximum_boundary_error_m,speed_ratio_before,speed_ratio_after,regauge_rms_m,regauge_maximum_m,radial_spectral_tail_rms_m,trust_region_predicted_relative_change,accepted_step_predicted_relative_change,evaluation_count,maximum_system_residual
16,1,16,0.5,4,0.04769268524997729,0.3088452209440104,18.79344168895357,0,0.000611842973509258,0.0025871650851147475,0.02140920379624749,2.849086037863684,2.68416090656658,0.0011934325181071944,0.002822060385351858,0.007518692487199525,0.2645607795638452,0.2645607795638452,598,6.294310737541243e-16
17,1,17,0.5,4,0.030676816202177243,0.24769665400314655,15.301053213028762,0,0.0006051543825180566,0.002656112945423362,0.02003482297023203,2.68416090656658,2.5464674010635844,0.0011869585402493046,0.002612051528755956,0.007470918368594535,0.30685866557152014,0.30685866557152014,635,6.294310737541243e-16
18,1,18,0.5,4,0.01824598272746077,0.19102870322263496,11.90981677626343,0,0.0005778093835800436,0.0026900849358481196,0.019008557024057345,2.5464674010635844,2.4214027095549295,0.0011549665707787041,0.002335393370055606,0.0073235435911066646,0.36027544117266497,0.36027544117266497,672,6.294310737541243e-16
19,1,19,0.5,4,0.009983658433909779,0.14130575666907402,8.54933992137711,0,0.0006442020973605243,0.0026893103964289178,0.01793909322388112,2.4214027095549295,2.3406265179699184,0.0010955957207245707,0.0020272605266218506,0.007089477467084041,0.4304428176407802,0.4304428176407802,709,6.294310737541243e-16
20,2,0,"0.5,1.5",6,1.0075608899857051,0.9680955738579825,0.0,0,0.0,0.0,0.01793909322388112,2.339514936961681,2.339514936961681,0.0,0.0,0.00045867318345045783,0.0,0.0,710,3.0265985100502187e-15
21,2,1,"0.5,1.5",6,0.8273747725716262,0.8773956231685195,21.287516617963725,0,0.0008437714866118497,0.003572915117568791,0.01722942759378534,2.3406265179699184,2.227552783098377,0.0009551174260977353,0.0022325116196387665,0.00034446993353289,0.1843952614025196,0.1843952614025196,763,3.519159860421628e-15
22,2,2,"0.5,1.5",6,0.6572967202187262,0.7822384966034552,20.561687515950247,0,0.0008107155894658584,0.0029392506729503535,0.016527700478926894,2.227552783098377,2.0886416576699305,0.0007096654819560138,0.0015574160671686529,0.00023823516093809618,0.212211792981245,0.212211792981245,816,3.519159860421628e-15
23,2,3,"0.5,1.5",6,0.5018652550347662,0.683797385972552,18.64870845438799,0,0.0007695672935191701,0.0025884729110699774,0.015987901125231744,2.0886416576699305,1.9660464747203097,0.00048254793915091,0.001016445645330851,0.0001564663935398861,0.24719319437233733,0.24719319437233733,869,5.4282283542163185e-15
24,2,4,"0.5,1.5",6,0.3636443404158692,0.5824239381861874,15.881627815731548,0,0.0007763495853917254,0.0022933238489171877,0.015359531970899815,1.9660464747203097,1.9611104864568822,0.0003104934063450227,0.0006458973568697311,0.00010263532258343008,0.29405068373933113,0.29405068373933113,924,6.3988194386428005e-15
25,2,5,"0.5,1.5",6,0.24877447165177313,0.48216996456556716,13.047168430403488,0,0.0007794517740499012,0.0021918863324957745,0.014537479257655342,1.9611104864568822,1.974800577958751,0.00020178137113529938,0.0004135069475898238,7.196134743924103e-05,0.34576553167687596,0.34576553167687596,977,6.3988194386428005e-15
26,2,6,"0.5,1.5",6,0.16433987426265856,0.39236694321068316,11.011748239369986,0,0.0007432168529456618,0.002094861082343597,0.013564807702030269,1.974800577958751,2.0005704959208215,0.00014879430608406667,0.000330210611203526,5.7036048970357284e-05,0.37853942993256057,0.37853942993256057,1030,6.3988194386428005e-15
27,2,7,"0.5,1.5",6,0.10656301704691745,0.31639959347718516,9.293863257310461,0,0.0007068205163643905,0.002003136324052412,0.01244764701451332,2.0005704959208215,2.0633309340201893,0.00013395419111412554,0.00033699736016068585,5.0942066291916944e-05,0.396468970707427,0.396468970707427,1083,6.3988194386428005e-15
28,2,8,"0.5,1.5",6,0.06716398603231707,0.2515619777172344,7.431881615397374,0,0.0006934620501114901,0.002075735763133712,0.011105552801436741,2.0633309340201893,2.12234328677226,0.00014148488318287846,0.00036231289700367245,4.912899404158319e-05,0.4201438923152582,0.4201438923152582,1136,7.019013920753147e-15
29,2,9,"0.5,1.5",6,0.04020518692940134,0.1948930156421136,5.630718134728562,0,0.0006801886161803566,0.002170018847673747,0.009425988223422969,2.12234328677226,2.16894157364255,0.00016106062094685105,0.00038607944449443974,4.9501104501406165e-05,0.45805699669388433,0.45805699669388433,1189,8.70977066073551e-15
30,2,10,"0.5,1.5",6,0.021783402845943278,0.14358370735750992,4.005761078606266,0,0.0006467280014836291,0.0022928644739969818,0.00738342880011239,2.16894157364255,2.200943536408308,0.00018538951020868893,0.00040034104476089754,5.122907908627902e-05,0.5257865493111602,0.5257865493111602,1242,9.959127865823602e-15
31,2,11,"0.5,1.5",6,0.009651291378385921,0.09558600611258262,2.5581811658526954,0,0.0005812085363481642,0.0024022819249821616,0.005108998881213688,2.200943536408308,2.216211849365315,0.000203894683224147,0.00045097333244795693,5.222520253950143e-05,0.653768169540789,0.653768169540789,1295,9.959127865823602e-15
32,2,12,"0.5,1.5",6,0.0027840840634811587,0.05128194416658054,1.2930492059303331,0,0.00048034000106750746,0.002391527374093951,0.0027880449839335253,2.216211849365315,2.2131827504304447,0.00019512567124382738,0.00041466033839967516,4.597328893881283e-05,0.894879119397168,0.894879119397168,1348,9.959127865823602e-15
33,2,13,"0.5,1.5",6,0.0003187644630897259,0.017301224236025446,0.38791476177909995,0,0.0004409546125603603,0.0019320577031354737,0.0008874454189029439,2.2131827504304447,2.1887592765235886,0.00011228952594842218,0.00020333398773595733,2.3920593919964155e-05,1.2861528195112095,1.2861528195112095,1401,9.959127865823602e-15
34,2,14,"0.5,1.5",6,1.7709852700661073e-05,0.0040722185501028876,0.11637442853372998,0,0.00020492113757303039,0.0007515644126512428,0.00014100235980567987,2.1887592765235886,2.158535811622228,4.217027986277642e-05,9.912318489763909e-05,3.3890742882326137e-06,1.536258619243371,1.536258619243371,1454,9.959127865823602e-15
35,2,15,"0.5,1.5",6,7.444157697077355e-07,0.0008363366010908451,0.03491232856011899,0,5.434131764446478e-05,0.0001373169026516236,1.6978247366552025e-05,2.158535811622228,2.1525449101552234,2.010232303202443e-05,5.0432717880818864e-05,1.7889719670499898e-06,1.775225573921203,1.775225573921203,1507,9.959127865823602e-15
36,2,16,"0.5,1.5",6,9.890390941386179e-09,9.598559152403422e-05,0.010473698568035697,0,6.1328390332872505e-06,1.7605452463631505e-05,2.225324917065111e-06,2.1525449101552234,2.1520760028800243,3.315003574931959e-06,6.2834796405236255e-06,3.8980770513197245e-07,1.9559345800512218,1.9559345800512218,1560,9.959127865823602e-15
37,2,17,"0.5,1.5",6,4.1251733464302623e-10,1.982388605672218e-05,0.003142109570410709,0,1.8403531233923337e-06,2.539881081551565e-06,5.713446221627188e-07,2.1520760028800243,2.151691856508847,5.144060381775577e-07,1.2821729518400305e-06,5.001612451469427e-08,1.9359482238942707,1.9359482238942707,1613,9.959127865823602e-15
38,2,18,"0.5,1.5",6,2.2336147031752642e-11,4.587436655170433e-06,0.0009426328711232126,0,1.731936191842087e-07,5.770418077444982e-07,1.2904565650875157e-07,2.151691856508847,2.151640671563587,9.589311281907085e-08,2.3042532069705673e-07,2.346901349851213e-08,1.974054576174545,1.974054576174545,1666,9.959127865823602e-15
39,2,19,"0.5,1.5",6,1.013591815620503e-12,9.758315112225002e-07,0.00028278986133696375,0,7.067714476665144e-08,1.5299436381601388e-07,2.77603036114016e-08,2.151640671563587,2.151663580638968,3.214156880401391e-08,7.104745745992297e-08,1.0464849354578578e-08,1.9901505271508886,1.9901505271508886,1719,9.959127865823602e-15
40,2,20,"0.5,1.5",6,2.1658881796393135e-13,4.510189495968344e-07,8.483695840108912e-05,0,3.21064090098477e-08,4.0712988238036995e-08,1.2771829593916252e-08,2.151663580638968,2.151651828117934,1.4509781438843477e-08,3.3702872643885276e-08,4.889011981488437e-09,1.975029656387397,1.975029656387397,1772,9.959127865823602e-15
41,3,0,"0.5,1.5,2.5",6,1.1566118019695591e-12,5.828580803881717e-07,0.0,0,0.0,0.0,1.2771829593916252e-08,2.1514085615579988,2.1514085615579988,0.0,0.0,4.889011981488437e-09,0.0,0.0,1773,1.028510911594367e-14
42,3,1,"0.5,1.5,2.5",6,2.582374096541949e-13,2.709027239440196e-07,0.001,0,1.4760804078140408e-08,1.863357909393589e-08,5.852633933045588e-09,2.151651828117934,2.1516572562579173,6.5954512691092994e-09,1.4825283321885599e-08,2.288094720409587e-09,1.973396275004353,1.973396275004353,1826,1.2887105344097242e-14
43,3,2,"0.5,1.5,2.5",6,6.02347583920183e-14,1.296244603742344e-07,0.0003,0,6.956521802242951e-09,8.64456130868669e-09,2.7610946862214766e-09,2.1516572562579173,2.1516547076391053,3.1735782578020564e-09,7.231696434335559e-09,1.0888520610507503e-09,1.9833832115201706,1.9833832115201706,1879,1.2887105344097242e-14
