iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,loss,relative_l2_error,applied_damping,accepted_backtrack_count,maximum_coefficient_step_m,curve_change_m,maximum_boundary_error_m,speed_ratio_before,speed_ratio_after,regauge_rms_m,regauge_maximum_m,radial_spectral_tail_rms_m,trust_region_predicted_relative_change,accepted_step_predicted_relative_change,evaluation_count,maximum_system_residual
0,1,0,0.5,4,0.6993107576887718,1.18263329708644,0.0,0,0.0,0.0,0.04180882803796604,1.9201200032704373,1.9201200032704373,0.0,0.0,0.00035505366085619396,0.0,0.0,1,6.066995747576805e-16
1,1,1,0.5,4,0.6429098301305809,1.1339398838832515,52.32991146814947,0,0.0007552390237797293,0.002042824684579896,0.040329338273723626,1.9205975535379947,1.904086626837929,0.00028246720255027164,0.0005025209640936582,0.0003861314527001508,0.0823051118952963,0.0823051118952963,38,6.263722641438673e-16
2,1,2,0.5,4,0.5908235598866198,1.0870359330644226,52.39728142986354,0,0.0008206452668422895,0.001804765966969773,0.038850468924273275,1.904086626837929,1.8909616080644605,0.00019388232036018433,0.0003737794231815137,0.0007228790086520267,0.08333285859240946,0.08333285859240946,75,6.294310737541243e-16
3,1,3,0.5,4,0.5422868551434781,1.0414286870866176,52.46473812422466,0,0.0008960242682485699,0.001794422519324805,0.03741444354323971,1.8909616080644605,1.8967186668916323,0.0001808973551499649,0.0003790512170429732,0.0011418940881933,0.08463548563113682,0.08463548563113682,112,6.294310737541243e-16
4,1,4,0.5,4,0.49721526434782515,0.9972113761362986,53.00691318334094,0,0.0009536242005472054,0.0018131732221687805,0.03603789382455699,1.8967186668916323,1.9286404556322634,0.00019361382715462347,0.00043889732258574007,0.0016093341130354716,0.08540921239123081,0.08540921239123081,149,6.294310737541243e-16
5,1,5,0.5,4,0.45455582886786394,0.9534734698646461,52.59991215767311,0,0.0009976307134726505,0.0018773454863290323,0.03470271250170792,1.9286404556322634,1.988023448333603,0.00021356645387790075,0.0005181453337135255,0.002121513812628938,0.08775779604147091,0.08775779604147091,186,6.294310737541243e-16
6,1,6,0.5,4,0.41321385641631136,0.9090806965460342,50.80644100307285,0,0.0010214263735866575,0.0019637560121179777,0.033381140268313195,1.988023448333603,2.0735721216150194,0.0002376318851497296,0.0006026433180416142,0.002676612519643692,0.09249471059241257,0.09249471059241257,223,6.294310737541243e-16
7,1,7,0.5,4,0.37235858561470275,0.8629699712211344,47.767639250406496,0,0.0010153965025697564,0.002061784785205744,0.03208815752474551,2.0735721216150194,2.182490241030812,0.00026867418370349376,0.0006844219687015475,0.0032698923753641997,0.09990220060997725,0.09990220060997725,260,6.294310737541243e-16
8,1,8,0.5,4,0.33132456176382225,0.8140326305054636,43.71495473567366,0,0.0009787030766096935,0.0021907835079384187,0.031148241379389978,2.182490241030812,2.3119635485886016,0.0003151045953420283,0.0007624070121925553,0.0038960201090332846,0.1105539833140933,0.1105539833140933,299,6.294310737541243e-16
9,1,9,0.5,4,0.28922165274719513,0.7605546038874462,38.59235559222765,0,0.0009256191865430519,0.002324971582332582,0.030218257814112207,2.3119635485886016,2.4579592996557587,0.0003917275615824108,0.0008490599989202608,0.004556024677631981,0.12649429094365988,0.12649429094365988,336,6.294310737541243e-16
10,1,10,0.5,4,0.24630431704457717,0.7018608366971008,33.764964113716864,0,0.0008403212864281192,0.002440035773374062,0.02928860901412472,2.4579592996557587,2.604576602689293,0.0005074915303387647,0.001107178390558374,0.0052333533943321,0.14616973484742296,0.14616973484742296,373,6.294310737541243e-16
11,1,11,0.5,4,0.20397570610058538,0.6387107421996054,30.077642787564997,0,0.0007719177381499433,0.002454508774531424,0.02831527980938272,2.604576602689293,2.7919997064914455,0.0006593212740292558,0.0015671674348251249,0.005888274541979743,0.16655017435250682,0.16655017435250682,410,6.294310737541243e-16
12,1,12,0.5,4,0.16259856647089638,0.570260583366756,26.315328871810543,0,0.0008358177631642184,0.002435291480258633,0.026566731164337547,2.7919997064914455,2.98646165755819,0.000843075095623487,0.0021139495992826764,0.006491895661431255,0.19288216997171845,0.19288216997171845,447,6.294310737541243e-16
13,1,13,0.5,4,0.1266345960435381,0.5032585737839707,25.647722531018378,0,0.0007900198991912543,0.002495533794508693,0.025412809300253334,2.98646165755819,3.0350438739911625,0.0009962308270292034,0.0025446827281856107,0.006952195470051437,0.20224474019122723,0.20224474019122723,487,6.294310737541243e-16
14,1,14,0.5,4,0.09560244339123677,0.43726981005149845,24.113697658572676,0,0.0007239106952620821,0.002534561238353049,0.024617794321772964,3.0350438739911625,2.975834917452442,0.0011074606056091308,0.0028260885202821147,0.007270857201434915,0.2161652439827684,0.2161652439827684,524,6.294310737541243e-16
15,1,15,0.5,4,0.06925749344480775,0.3721760160053513,21.674424059551935,0,0.0006385829023155707,0.00256696864497651,0.022867792042267528,2.975834917452442,2.849086037863684,0.0011713907872108761,0.0029145800290315475,0.007456506659400629,0.23699889679779576,0.23699889679779576,561,6.294310737541243e-16
