case,direction,maximum_mixed_ratio,num_nodes,receiver_absolute_error,receiver_mixed_ratio,receiver_relative_error,rhs_absolute_error,rhs_mixed_ratio,rhs_relative_error,same_near_direct_branch,scattered_absolute_error,scattered_mixed_ratio,scattered_objective_absolute_error,scattered_objective_mixed_ratio,scattered_relative_error,solution_absolute_error,solution_mixed_ratio,solution_relative_error,step,system_absolute_error,system_mixed_ratio,system_relative_error,total_absolute_error,total_mixed_ratio,total_objective_absolute_error,total_objective_mixed_ratio,total_relative_error
circle,translation_x,4.600827878644435,32,1.060250704279177e-06,0.35650528417863114,7.130802970079534e-06,9.7101094992699e-11,0.43868152134913835,8.774543803194679e-06,True,2.483616738695872e-13,0.8766291858753378,8.355014755470971e-07,4.600827878644435,1.753541036926629e-05,8.193692319347789e-11,0.43603208856986464,8.721551484403417e-06,0.01,0.0,0.0,0.0,2.4836167379221995e-13,0.8757392972554056,1.774255482413071e-08,0.17486772271184503,1.7535410363803824e-05
circle,translation_x,0.04601054441145747,32,1.06027333019508e-08,0.0035651289275258164,7.130955142530512e-08,9.710250677000456e-13,0.004386879009972794,8.774671378499661e-08,True,2.483611121975687e-15,0.008766272196151741,8.355426188606796e-09,0.04601054441145747,1.753537071278796e-07,8.193855884560045e-13,0.0043604079433911674,8.721725586915954e-08,0.001,1.643532896441615e-10,0.0012769381497140723,1.2769381497140726,2.483610087705612e-15,0.008757369728757604,1.774347209551651e-10,0.001748767631888188,1.7535363410393064e-07
circle,translation_x,0.01276938149714072,32,1.049754035723178e-10,3.529758198845235e-05,7.060206765792223e-10,9.705861240414023e-15,4.3848959600126205e-05,8.770704862612082e-10,True,2.4565873049391274e-17,8.670887659510843e-05,8.397896787692982e-11,0.00046244415831218287,1.7344570854622699e-09,8.200211497374217e-15,4.3637901211728334e-05,8.728490644989083e-10,0.0001,1.643532896441615e-09,0.01276938149714072,12.769381497140724,2.456370131874464e-17,8.661319904006035e-05,1.7837131375880375e-12,1.7579985376006982e-05,1.7343037518681333e-09
circle,translation_x,0.1276938149714072,32,5.510997216313309e-11,1.853051948028318e-05,3.706466325330484e-10,3.558584714273593e-15,1.6076907912672076e-05,3.2157163063012265e-10,True,9.871415521600496e-18,3.4842618811835645e-05,6.68998970804191e-12,3.68395413502397e-05,6.96964710375171e-10,4.345061190551804e-15,2.312249520145588e-05,4.6249814368544934e-10,1e-05,1.6435328964416146e-08,0.1276938149714072,127.69381497140722,9.885221231443843e-18,3.485592920899251e-05,1.3277816075362575e-13,1.3086398676517206e-06,6.97939453312639e-10
circle,translation_x,1.276938149714072,32,5.715451871662693e-10,0.00019217990517789385,3.8439739787305506e-09,3.996243947903105e-14,0.00018054156667829234,3.6112072239518992e-09,True,1.2503977493261915e-16,0.0004413463504643576,4.8225774935961585e-11,0.00026556325307422734,8.828349929206479e-09,5.326188475531232e-14,0.0002834362096804406,5.6693155166801995e-09,1e-06,1.6435328964416147e-07,1.276938149714072,1276.9381497140723,1.2417152120897167e-16,0.0004378368123283013,1.0901795010351614e-12,1.0744631118956926e-05,8.767047454023465e-09
circle,translation_y,0.6772851068993941,32,8.701743802342891e-07,0.3348943525934832,6.698636768179443e-06,9.262023183577763e-11,0.4188287704074887,8.377448230782046e-06,True,1.7663647008813435e-13,0.6772851068993941,9.44122825062739e-08,0.6683442769556582,1.3548073946969968e-05,7.845153764556058e-11,0.41787031423200427,8.358278878842772e-06,0.01,0.0,0.0,0.0,1.7663646992097498e-13,0.676538320070779,2.1076277954335844e-09,0.0209104997519515,1.354807393414879e-05
circle,translation_y,0.0067728872898688815,32,8.701952817275049e-09,0.003349023969677668,6.698797668700241e-08,9.262127600589134e-13,0.00418833492146844,8.377542675385545e-08,True,1.7663741848371006e-15,0.0067728872898688815,9.440813586621133e-10,0.006683149229025537,1.354814668921501e-07,7.845261554118699e-13,0.0041787605561951005,8.358393718558068e-08,0.001,1.6957048039539697e-10,0.00131747296297526,1.3174729629752602,1.7663771721186343e-15,0.006765430609494397,2.107511466232538e-11,0.00020909345609965477,1.3548169601760251e-07
circle,translation_y,0.013118010579779857,32,8.62649819037276e-11,3.319984585382831e-05,6.640712398715524e-10,9.226663753022945e-15,4.172298166458067e-05,8.345465823367201e-10,True,1.7700099773239776e-17,6.786828156673128e-05,8.92521776971189e-12,6.318159098180358e-05,1.3576033334279571e-09,7.805075895012574e-15,4.1573557571282795e-05,8.315579650686435e-10,0.0001,1.6884045580880292e-09,0.013118010579779857,13.11801057977986,1.772429399212321e-17,6.788611308759347e-05,1.9602017491821e-13,1.9447835276633806e-06,1.3594590377814146e-09
circle,translation_y,0.13174729629752596,32,4.45515856707202e-11,1.7146074156407965e-05,3.4295986716390225e-10,3.692993868087744e-15,1.669972154291994e-05,3.3402923241820086e-10,True,1.1897649969205795e-17,4.561968962127484e-05,5.2930095202630145e-12,3.746919920619991e-05,9.125535711709918e-10,4.284444810373625e-15,2.282099692315255e-05,4.564675931261348e-10,1e-05,1.6957048039539693e-08,0.13174729629752596,131.747296297526,1.1922226560964942e-17,4.5663518134968314e-05,1.2048215615283187e-13,1.1953448810111606e-06,9.144386036467386e-10
circle,translation_y,1.3118010579779853,32,5.384024089342709e-10,0.00020720895767464405,4.144643021542932e-09,4.169894972343723e-14,0.00018856268758826869,3.771646708955204e-09,True,1.0654987875688113e-16,0.00040854894962879043,6.3826327036109465e-12,4.5182638594559186e-05,8.172409897676511e-09,5.1822796950143973e-14,0.00027603293824323154,5.521235175120332e-09,1e-06,1.688404558088029e-07,1.3118010579779853,1311.8010579779857,1.0913340451770678e-16,0.000417993666751298,4.886026750295508e-13,4.847595072120606e-06,8.370567152710555e-09
