stage,stage_iteration,training_frequency_count,maximum_mode,loss,relative_l2_error,representation_evaluated,redistance_curve_drift_m,redistance_steps,redistance_stop_reason,evaluation_count
1,0,1,3,0.6464060797493633,1.1370189793924843,False,,0,not_evaluated,1
1,1,1,3,0.5964128307304226,1.0921655833530213,False,,0,not_evaluated,16
2,0,2,3,1.5112511009281087,1.1750792919485045,False,,0,not_evaluated,1
2,1,2,3,1.4148515217286257,1.1483468633545977,False,,0,not_evaluated,16
2,2,2,3,1.3271849885165066,1.122621145414768,False,,0,not_evaluated,31
2,3,2,3,1.249506831703272,1.0979858059134684,False,,0,not_evaluated,46
