factor,radius_m,production_loss,refined_loss,production_delta,refined_delta,accepted,rejection_reason
1.0,0.0162867503967641,0.09197458569190482,0.09197420169622346,-0.07822183718632846,-0.0782216483315545,True,
0.75,0.012215062797573076,0.11892415859582861,0.11892369708423381,-0.05127226428240467,-0.05127215294354415,True,
0.5,0.00814337519838205,0.14465181599858573,0.14465129439743796,-0.025544606879647547,-0.02554455563034,True,
0.35,0.005700362638867434,0.15705050391737568,0.15704995657210502,-0.013145918960857594,-0.013145893455672936,True,
