recovered_component,truth_component,symmetric_hausdorff_m,center_distance_m,maximum_mode
split_seed_000,truth_star,0.00032240205363770133,4.568455057821658e-05,5
td_birth_001,truth_ellipse,0.0005516188010170871,3.036688959433666e-05,5
