stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
pre_topology,0,1.3705209970013592,1.6556092516058005,0.001,7,4.617144525759055e-16,1,1,1.6990556080127135,middle_initial,"[0.05, 0.5, 0.5]",,
pre_topology,1,1.101549707341053,1.484284142164871,0.001,14,4.538955781922841e-16,1,1,1.6990556080127135,middle_initial,"[0.038000000000000006, 0.49971334353126146, 0.4987351585353729]",,
pre_topology,2,0.7842984592145212,1.2524363929673406,0.0003,21,4.3411789024171046e-16,1,1,1.6990556080127135,middle_initial,"[0.026000000000000006, 0.4982575740270074, 0.4957629595569901]",,
pre_topology,3,0.5532236771820774,1.051878013062425,8.999999999999999e-05,28,4.1989975394927314e-16,1,1,1.6990556080127135,middle_initial,"[0.014000000000000005, 0.4916500909748994, 0.48650004700936744]",,
pre_topology,4,0.49822670042352357,0.9982251253334826,2.6999999999999996e-05,35,3.739793768395643e-16,1,1,1.6990556080127135,middle_initial,"[0.0020000000000000052, 0.4666500909748994, 0.4615000470093674]",,
pre_topology,5,0.41246614634463885,0.9082578338166304,8.099999999999999e-06,42,3.895017231892025e-16,1,1,1.6990556080127135,middle_initial,"[0.014000000000000005, 0.4416500909748994, 0.4365000470093674]",,
pre_topology,6,0.3629764333385718,0.8520286771448152,2.4299999999999996e-06,49,4.1506328172421376e-16,1,1,1.6990556080127135,middle_initial,"[0.026000000000000006, 0.4666500909748994, 0.4615000470093674]",,
pre_topology,7,0.27540019707793073,0.7421592781579043,7.289999999999998e-07,56,4.2912939995699845e-16,1,1,1.6990556080127135,middle_initial,"[0.029466059056818688, 0.4423591568885929, 0.4403049877114797]",,
pre_topology,8,0.21762037668448136,0.6597277873251686,2.1869999999999994e-07,63,4.473481911801172e-16,1,1,1.6990556080127135,middle_initial,"[0.036238823407272754, 0.4518879894665655, 0.45320475116580744]",,
pre_topology,9,0.2081011801873452,0.6451374740120825,6.560999999999998e-08,70,4.549604326911398e-16,1,1,1.6990556080127135,middle_initial,"[0.038801387495890786, 0.44975911943667035, 0.4491464583263266]",,
pre_topology,10,0.20782448411781812,0.6447084366096323,1.9682999999999992e-08,77,4.635886970437031e-16,1,1,1.6990556080127135,middle_initial,"[0.03939704071942024, 0.4501295551999287, 0.44981882479792484]",,
pre_topology,11,0.20782142544482918,0.6447036923189275,5.904899999999998e-09,84,4.546981285415575e-16,1,1,1.6990556080127135,middle_initial,"[0.03937946995821454, 0.45007832459029756, 0.44974087251781836]",,
pre_topology,12,0.20782139530558502,0.6447036455699394,1.7714699999999993e-09,91,4.4123817386237263e-16,1,1,1.6990556080127135,middle_initial,"[0.03938416728367669, 0.4500821586895742, 0.4497486907464486]",,
pre_topology,13,0.20782139499200214,0.6447036450835409,5.314409999999998e-10,98,4.59767416769385e-16,1,1,1.6990556080127135,middle_initial,"[0.03938382948897955, 0.45008161637103555, 0.449747951718877]",,
pre_topology,14,0.2078213949896177,0.6447036450798425,1.5943229999999992e-10,105,4.648877559570307e-16,1,1,1.6990556080127135,middle_initial,"[0.03938387101340156, 0.4500816542943404, 0.44974803377786515]",,
split_proposal_first_k1,0,0.3763883192898659,0.8676270158194314,0.001,7,4.068778143075312e-16,1,1,1.0481541930057574,split_seed_000,"[0.015621702193025446, 0.5533333333333332, 0.5533333333333332]",,
split_proposal_first_k1,1,0.24862403256137744,0.7051581844683893,0.001,14,4.566736646002556e-16,1,1,1.0481541930057574,split_seed_000,"[0.027621702193025448, 0.5497686811015343, 0.5505356809289685]",,
split_proposal_first_k1,2,0.1960582602305211,0.6261920795259568,0.0003,21,4.740356242163178e-16,1,1,1.0481541930057574,split_seed_000,"[0.03874095738583052, 0.5529660977493798, 0.553099053669701]",,
