affine_iterations,anchor_iterations,anchor_kd,curve,geometry_change,kd,plain_iterations,rank,reconstruction_error,samples,shift
2,18,14.0,crescent,0.0,15.875,31,11,1.9169350323104806e-06,81,0.0
2,41,14.0,crescent,0.0,19.625,37,11,1.7085586235395335e-06,81,0.0
2,56,14.0,crescent,0.0,23.625,42,11,6.4705734835683515e-06,81,0.0
6,37,14.0,crescent,0.010971764843847803,4.625,13,11,0.01097670673853342,81,0.01
8,33,14.0,crescent,0.042089796201042605,8.375,19,11,0.04223762176133039,81,0.01
9,18,14.0,crescent,0.08636893934422896,12.125,25,11,0.08706228648685375,81,0.01
10,17,14.0,crescent,0.13079501765735682,15.875,31,11,0.13204728541811916,81,0.01
11,41,14.0,crescent,0.1762364039027182,19.625,37,11,0.17777114382655443,81,0.01
13,56,14.0,crescent,0.22978016625272812,23.625,41,11,0.23166301448288118,81,0.01
7,37,14.0,crescent,0.021482017075324034,4.625,13,11,0.021499583173515212,81,0.02
9,34,14.0,crescent,0.08208045773597372,8.375,19,11,0.08259948960605804,81,0.02
11,22,14.0,crescent,0.16790346917751925,12.125,25,11,0.1703121033877884,81,0.02
13,17,14.0,crescent,0.2535050134028904,15.875,31,11,0.2577478981570347,81,0.02
15,40,14.0,crescent,0.34026932959382467,19.625,36,11,0.34520835292326424,81,0.02
17,55,14.0,crescent,0.4410580117866983,23.625,41,11,0.4467376776212131,81,0.02
8,37,14.0,crescent,0.04111837407925535,4.625,13,11,0.04117381525797721,81,0.04
12,33,14.0,crescent,0.15554742742987715,8.375,19,11,0.15711603429504994,81,0.04
14,23,14.0,crescent,0.3151435062409234,12.125,25,11,0.32212588462739067,81,0.04
20,23,14.0,crescent,0.4706573195356711,15.875,31,11,0.482026917533451,81,0.04
24,39,14.0,crescent,0.6226955745046253,19.625,36,11,0.6339118069885383,81,0.04
29,54,14.0,crescent,0.7902363450247747,23.625,41,11,0.8003388800346035,81,0.04
10,36,14.0,crescent,0.07503438872190256,4.625,12,11,0.07516445909385357,81,0.08
15,34,14.0,crescent,0.27669166300674586,8.375,18,11,0.2798564318424564,81,0.08
19,28,14.0,crescent,0.545007739246347,12.125,24,11,0.556682764225193,81,0.08
28,28,14.0,crescent,0.7865040629246352,15.875,29,11,0.799094716047951,81,0.08
36,44,14.0,crescent,0.9939662973683955,19.625,35,11,0.9939522479663883,81,0.08
45,55,14.0,crescent,1.1805661502660687,23.625,40,11,1.1649227151753603,81,0.08
