recovered_component,truth_component,symmetric_hausdorff_m,center_distance_m,maximum_mode
split_seed_000,truth_star,0.00032240159559453505,4.568451142598461e-05,6
td_birth_001,truth_ellipse,0.0005516187988762797,3.036685515214612e-05,6
