center_error_m,failure_reason,forward_self_converged,joint_shape,material_absolute_error,name,noisy_training,physical_recovery_passed,qualification_seconds,radius_absolute_error_m,spurious_radial_mode2_amplitude_m,status,total_seconds
0.0,,True,False,1.3322676295501878e-15,fixed_clean_eps2,False,True,1.1225159280002117,0.0,0.0,completed,1.8863469054922462
0.0,,True,False,2.0951240742306254e-11,fixed_clean_eps5,False,True,1.1072278199717402,0.0,0.0,completed,1.7884393455460668
0.0,,True,False,7.143255249087268,fixed_clean_eps9,False,False,1.2075853906571865,0.0,0.0,completed,4.844689014367759
0.0,,True,False,0.0008069628698539333,fixed_noisy_eps5,True,True,1.1011584578081965,0.0,0.0,completed,2.003247066400945
5.811463456374355e-15,,True,True,1.361950552336566e-10,joint_clean_start1,False,True,1.4424378564581275,1.731288723494373e-12,1.0232721569632553e-14,completed,6.752232466824353
1.1493723184484234e-05,,True,True,4.833595354103437e-05,joint_noisy_start1,True,True,1.4516014019027352,7.321289374112583e-06,4.682859528674835e-05,completed,8.504574475809932
0.021094422180297147,,True,True,1.1187889176970645,joint_clean_start2,False,False,1.3955536801367998,0.024999999999999994,0.0054465289078384355,completed,24.684627422131598
0.021060246157282955,,True,True,1.1244460195005148,joint_noisy_start2,True,False,1.2942580599337816,0.024999999999999994,0.005353702636655992,completed,21.994280957616866
