method,cases,recovered,converged,median_shape_rms_mm,ensemble_shape_rms_mm,max_shape_rms_mm,median_heldout_field_error,physical_bound_hits,gain_bound_hits
absent,10,3,10,0.6541400381077167,0.7671973596638962,1.3075512230605837,0.008803492883449686,1,0
known_coupled,10,10,10,0.05157194113101011,0.05971770100104466,0.0953706821763462,0.0019291393998644426,0,0
unknown_coupled,10,10,10,0.05652303902391312,0.06119532179766761,0.10399238804408745,0.00207742104748788,0,0
known_additive,10,10,10,0.06193503645283763,0.06776862648307808,0.11150636458390527,0.001925606614075536,0,0
unknown_additive,10,10,10,0.07602617166799297,0.07619895293481876,0.12335664694095963,0.0021891106963874106,0,0
