curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,parameter,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,rule,trace_error
ellipse,24,1.062559454371746e-15,4.250797020076103e-06,0.0001094656715152585,6.201586944019784e-08,256,0.30951960420311164,10.0,1,1,1,10.0,0.0017191113516807227,1,5116,49,4.0,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,0.5326947105372761,fjs_q4,0.0001561280647310177
ellipse,24,1.062559454371746e-15,0.09071355880119687,0.20748265322217851,6.201586944019784e-08,256,0.30951960420311164,10.0,1,1,1,10.0,0.04653166128112216,1,2604,49,1.2,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,0.27113702623906705,jwy_mu1.2,0.07904353349837581
ellipse,54,3.5465423700679905e-15,0.8955139202225237,1.6742511099348045,3.4506802543877947e-07,512,0.30951960420311164,30.0,1,1,1,30.0,0.6968343986009428,1,3844,109,1.0,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,0.08088544735291642,fjs_q1,1.3215502675079158
ellipse,54,3.5465423700679905e-15,0.8127674085567886,2.085586511932383,3.4506802543877947e-07,512,0.30951960420311164,30.0,1,1,1,30.0,0.5582195543661675,1,7924,109,2.0,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,0.16673680666610555,fjs_q2,1.138251754592772
ellipse,54,3.5465423700679905e-15,0.29853786004710775,0.9278348724908259,3.4506802543877947e-07,512,0.30951960420311164,30.0,1,1,1,30.0,0.13624451710692545,1,14764,109,4.0,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,0.3106640855146873,fjs_q4,0.35313848776995554
ellipse,54,3.5465423700679905e-15,0.6870328726987935,1.879097991224588,3.4506802543877947e-07,512,0.30951960420311164,30.0,1,1,1,30.0,0.3741835224712832,1,6620,109,1.2,0.984272039582213,0.9842720436032216,0.9889623001845894,0.9813784204394599,0.3550861911610144,0.35508624670970895,0.33536161085492106,0.3785256295497305,0.34003038937530156,0.13929803888561568,jwy_mu1.2,0.8246820700490299
kite,24,7.591860255150457e-15,0.024887616450950834,0.17652977301692663,5.758841378711142e-09,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,0.011643337915305727,2,1324,49,1.0,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,0.13785922532278216,fjs_q1,0.024659283861247647
kite,24,7.591860255150457e-15,3.550412748077937e-05,0.00047765844281467295,5.758841378711142e-09,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,0.0009755329011951817,2,2716,49,2.0,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,0.282798833819242,fjs_q2,0.0005612336330662582
kite,24,7.591860255150457e-15,2.1455928148051053e-10,6.038027222059682e-09,5.758841378711142e-09,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,0.00011969995183983386,2,5116,49,4.0,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,0.5326947105372761,fjs_q4,1.0588046407538738e-06
kite,24,7.591860255150457e-15,3.75591075972361e-05,0.0005983674172037908,5.758841378711142e-09,256,0.16738230496393547,2.0,16,5,48,2.0000000000000004,0.0018631361666548493,2,2604,49,1.2,0.9503337918998865,0.9503337918997289,0.947464694453593,0.9508408480062863,0.29922992310116964,0.29922992310125013,0.24017838312103928,0.35535818274503317,0.24396881462460124,0.27113702623906705,jwy_mu1.2,0.0002253523115643654
