method,cases,recovered,converged,median_shape_rms_mm,ensemble_shape_rms_mm,max_shape_rms_mm,median_heldout_field_error,physical_bound_hits,gain_bound_hits
absent,10,3,10,0.6541400381077167,0.7671973596638962,1.3075512230605837,0.008803492883449686,1,0
known_coupled,10,10,10,0.07548908348338079,0.09552857336875005,0.18750409383652172,0.009419664524799707,0,0
unknown_coupled,10,10,10,0.11822198120821266,0.16572493753453815,0.3708094162961662,0.010020274608503441,0,0
known_additive,10,10,10,0.09135525389290454,0.09928045345277767,0.157213917633209,0.00850116730166023,0,0
unknown_additive,10,9,10,0.2565846563524883,0.31497335220767136,0.5591594386239681,0.009294903826733078,0,0
