arm,bandwidth,bem_seconds,bem_solve_count,canonical_per_frequency_relative_field_error,case,conditioning_audit_seconds,conversion_seconds,failure_reason,gradient_calls,gradient_points,maximum_relative_field_error,maximum_system_condition,maximum_system_residual,nodes,per_frequency_relative_field_error,raw_geometry_m,returned_geometry_m,self_convergence_to_next_nodes,status,value_calls,value_points
distance_contacts,1,0.0815657889470458,2,,circle_distorted,0.011232740245759487,0.2256887201219797,distance contact is not on the queried field zero set,8,760,6.588066208181566e-11,4389.0768250913125,5.00135274410283e-15,128,"[2.5896240035983248e-11, 6.588066208181566e-11]",0.0001786576997800186,8.553546423109252e-13,5.007749837968618e-14,fallback,10,5081
distance_contacts,1,0.3158372715115547,2,,circle_distorted,0.07691467273980379,0.2256887201219797,distance contact is not on the queried field zero set,8,760,6.58740663915378e-11,4389.076825091303,2.6941962381304436e-15,256,"[2.5896937058844057e-11, 6.58740663915378e-11]",0.0001786576997800186,8.553546423109252e-13,,fallback,10,5081
distance_tangent_jet,1,0.02357545867562294,2,,circle_distorted,0.0018553286790847778,0.22524896636605263,distance contact is not on the queried field zero set,8,760,6.588516604305898e-11,4389.076825091295,2.2005991379356205e-15,64,"[2.5896372196434715e-11, 6.588516604305898e-11]",0.0001786564881899982,8.553546423109252e-13,4.529277128840324e-14,fallback,10,5081
distance_tangent_jet,1,0.08126248884946108,2,,circle_distorted,0.011231335811316967,0.22524896636605263,distance contact is not on the queried field zero set,8,760,6.588066208181566e-11,4389.0768250913125,5.00135274410283e-15,128,"[2.5896240035983248e-11, 6.588066208181566e-11]",0.0001786564881899982,8.553546423109252e-13,5.007749837968618e-14,fallback,10,5081
distance_tangent_jet,1,0.3191995359957218,2,,circle_distorted,0.07812220323830843,0.22524896636605263,distance contact is not on the queried field zero set,8,760,6.58740663915378e-11,4389.076825091303,2.6941962381304436e-15,256,"[2.5896937058844057e-11, 6.58740663915378e-11]",0.0001786564881899982,8.553546423109252e-13,,fallback,10,5081
projected_tangent_jet,1,0.023846659809350967,2,,circle_distorted,0.0017901668325066566,0.22296975180506706,,11,1048,7.191528588003457e-07,4389.076831940143,2.2258366738534117e-15,64,"[2.4278579676638346e-07, 7.191528588003457e-07]",,7.916740498513132e-09,5.176098069529608e-14,success,14,5465
projected_tangent_jet,1,0.08150833193212748,2,,circle_distorted,0.011213095858693123,0.22296975180506706,,11,1048,7.191528508951116e-07,4389.076831940113,5.183153319079038e-15,128,"[2.427857971094006e-07, 7.191528508951116e-07]",,7.916740498513132e-09,6.636813143448501e-14,success,14,5465
projected_tangent_jet,1,0.32103427220135927,2,,circle_distorted,0.08071455545723438,0.22296975180506706,,11,1048,7.19152854500371e-07,4389.076831940117,2.7556077071578855e-15,256,"[2.427857970577822e-07, 7.19152854500371e-07]",,7.916740498513132e-09,,success,14,5465
shared_zero_method_b,4,0.023736254312098026,2,,circle_distorted,0.0018016062676906586,0.14665513020008802,,5,472,1.1705463015429867e-10,4389.076825091322,2.177399924116293e-15,64,"[2.6397337034130995e-11, 1.1705463015429867e-10]",,1.8146343744069572e-12,5.33984340365971e-14,success,8,4889
shared_zero_method_b,4,0.08195809833705425,2,,circle_distorted,0.011407439596951008,0.14665513020008802,,5,472,1.1704662776589382e-10,4389.076825091303,5.089128253146261e-15,128,"[2.6396802215023047e-11, 1.1704662776589382e-10]",,1.8146343744069572e-12,5.164906877117212e-14,success,8,4889
