recovered_component,truth_component,symmetric_hausdorff_m,center_distance_m,maximum_mode
split_seed_000,truth_A,8.430102726997291e-10,3.7167502409160376e-10,1
td_birth_001,truth_B,1.0786499582415843e-08,8.043939625501679e-09,1
