best_error,bounding_radii,coupling_dimension_0.001,coupling_dimension_1e-06,coupling_dimension_1e-09,coupling_solve_0.001,coupling_solve_1e-06,coupling_solve_1e-09,cutoff,gap_absolute,gap_wavelengths,grid,kd,local_assemble,local_factor,local_respond,local_total,mie_error,monolithic_assemble,monolithic_dimension,monolithic_factor,monolithic_grid_control,monolithic_solve,order_0.001,order_1e-06,order_1e-09,pair,separation,trace_dimension
2.4527312235620644e-14,[0.5, 0.5],17,21,25,0.0006839759880676866,0.0009559110039845109,0.0012183389626443386,35,1.8849555921538759,3.0,512,10.0,0.9507962270872667,0.000481931958347559,0.08427196892444044,1.0355702569941059,9.61932960716517e-16,1.194670839002356,284,0.0015796159859746695,3.534333147501511e-15,0.0005014510825276375,8,10,12,two_circles,2.884955592153876,142
1.722946003271827e-14,[0.5, 0.5],17,21,25,0.0007228680187836289,0.0009524750057607889,0.0012437949189916253,35,1.2566370614359172,2.0,512,10.0,0.9519442059099674,0.0004996629431843758,0.08424242900218815,1.036705122096464,9.61932960716517e-16,1.1376327510224655,284,0.0011296439915895462,2.8155461170010246e-15,0.000382876954972744,8,10,12,two_circles,2.2566370614359172,142
1.405834890499917e-14,[0.5, 0.5],17,21,25,0.0007037040777504444,0.000966568011790514,0.001214754069224,35,0.6283185307179586,1.0,512,10.0,0.9480820279568434,0.0004543958930298686,0.08425512304529548,1.0328121909406036,9.61932960716517e-16,1.1621113989967853,284,0.0011739679612219334,2.6998679783603635e-15,0.0003962538903579116,8,10,12,two_circles,1.6283185307179586,142
1.452138068986899e-14,[0.5, 0.5],17,21,25,0.0007412099512293935,0.0009792399359866977,0.0012818810064345598,35,0.3141592653589793,0.5,512,10.0,0.9493575429078192,0.0005033710040152073,0.08486358495429158,1.0347440750338137,9.61932960716517e-16,1.171076477970928,284,0.001156977959908545,2.5171562091380333e-15,0.00038111896719783545,8,10,12,two_circles,1.3141592653589793,142
2.5692259787179446e-13,[0.5, 0.5],17,21,29,0.0007447199895977974,0.0009952159598469734,0.0015405279118567705,35,0.15707963267948966,0.25,512,10.0,0.9483839670429006,0.0004680810961872339,0.08372366696130484,1.032594028976746,9.61932960716517e-16,1.1779813329922035,284,0.001148075913079083,3.0400255477028018e-15,0.0003832870861515403,8,10,14,two_circles,1.1570796326794897,142
6.681928550044078e-13,[0.5, 0.5],17,21,33,0.0007180849788710475,0.0009962789481505752,0.001900848001241684,35,0.07539822368615504,0.12,512,10.0,0.9531585880322382,0.0004992299946025014,0.0844196209218353,1.0380996400490403,9.61932960716517e-16,1.191117821028456,284,0.0011337200412526727,2.881533916003638e-15,0.00039248005487024784,8,10,16,two_circles,1.075398223686155,142
1.937762509372865e-12,[0.5, 0.5],17,21,33,0.0007539489306509495,0.0010447889799252152,0.0019444850040599704,35,0.03769911184307752,0.06,512,10.0,0.9834995199926198,0.0004860570188611746,0.08742952602915466,1.0714389220811427,9.61932960716517e-16,1.1809954380150884,284,0.0011340570636093616,2.767620167688057e-15,0.00039568892680108547,8,10,16,two_circles,1.0376991118430776,142
3.8808674365368583e-10,[0.5, 0.5],17,25,33,0.0007058900082483888,0.0012215219903737307,0.0018429320771247149,35,0.01884955592153876,0.03,512,10.0,0.9300918111111969,0.0004423329373821616,0.08265899098478258,1.01321258302778,9.61932960716517e-16,1.227614559000358,284,0.0011638940777629614,3.880896505209465e-10,0.00046274694614112377,8,12,16,two_circles,1.0188495559215387,142
2.8822795877916396e-14,[0.5, 0.5],37,45,53,0.0021481849253177643,0.00301949807908386,0.003910392057150602,57,0.6283185307179586,3.0,512,30.0,0.9421416830737144,0.0013733470113947988,0.48210281506180763,1.4256413239054382,4.489257985673247e-15,1.139318231958896,460,0.004435444949194789,1.403362207875963e-14,0.0008095690282061696,18,22,26,two_circles,1.6283185307179586,230
2.893425106775522e-14,[0.5, 0.5],37,45,53,0.0022811630042269826,0.002982537029311061,0.0041051439475268126,57,0.41887902047863906,2.0,512,30.0,0.95984300901182,0.0014605760807171464,0.49268354987725616,1.454009765991941,4.489257985673247e-15,1.107555964961648,460,0.004200267954729497,1.4634900337565075e-14,0.0008142739534378052,18,22,26,two_circles,1.418879020478639,230
