curve,cutoff,halfwidth,kd,knee,points,r2,rate,whole_range
ellipse,24,0.30951960420311164,10.0,9,40,0.9901634848318985,0.4285504468410736,0.4416278807464809
ellipse,54,0.30951960420311164,30.0,23,68,0.9935208147035409,0.41631325728392193,0.3785256295497305
kite,36,0.16738230496393547,10.0,11,62,0.9843300932919052,0.2835908287629755,0.3041976772975109
kite,81,0.16738230496393547,30.0,24,109,0.9840635467661344,0.25520563250273337,0.253517167179289
crescent,36,0.09053850616843741,10.0,13,60,0.9737382091847712,0.19760312921253817,0.2225146110462338
crescent,81,0.09053850616843741,30.0,33,130,0.9776522437749909,0.14910102591726448,0.1559330480519245
