factor,radius_m,production_loss,refined_loss,production_delta,refined_delta,accepted,rejection_reason
1.0,0.015621702193025446,0.09539873737937357,0.0953987373793736,-0.08818007323865087,-0.08818007323865124,True,
0.75,0.011716276644769085,0.12775674474913096,0.12775674474913118,-0.05582206586889349,-0.055822065868893656,True,
0.5,0.007810851096512723,0.15643890654523973,0.15643890654523956,-0.027139904072784715,-0.02713990407278527,True,
0.35,0.005467595767558906,0.16975117051647598,0.16975117051647587,-0.013827640101548466,-0.013827640101548966,True,
