stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
pre_topology,0,0.4178364495029554,0.9141514639303,0.001,7,1.3784842214777717e-15,1,1,1.0944321409915574,large_initial,"[0.115, 0.5, 0.5]",,
pre_topology,1,0.40190153483054125,0.8965506509177729,0.001,14,1.43066211003428e-15,1,1,1.0944321409915574,large_initial,"[0.11230521220011819, 0.4999999999999786, 0.5000000000000122]",,
pre_topology,2,0.40171454474901175,0.8963420605427501,0.0003,21,1.4413223059559739e-15,1,1,1.0944321409915574,large_initial,"[0.11200244165379299, 0.500000000000021, 0.5000000000000314]",,
pre_topology,3,0.40171287179636195,0.8963401941186859,8.999999999999999e-05,28,1.3937326746285792e-15,1,1,1.0944321409915574,large_initial,"[0.11197368019147824, 0.49999999999997, 0.5000000000000325]",,
pre_topology,4,0.4017128573287723,0.8963401779779506,2.6999999999999996e-05,35,1.405502412579519e-15,1,1,1.0944321409915574,large_initial,"[0.11197100603548936, 0.5000000000000144, 0.5000000000000699]",,
pre_topology,5,0.401712857202626,0.8963401778372158,8.099999999999999e-06,42,1.4083069922316307e-15,1,1,1.0944321409915574,large_initial,"[0.1119707580219441, 0.5000000000000153, 0.5000000000000862]",,
pre_topology,6,0.4017128572013823,0.8963401778358283,2.4299999999999996e-06,49,1.4923289086875793e-15,1,1,1.0944321409915574,large_initial,"[0.11197073502853225, 0.4999999999999987, 0.5000000000001057]",,
split_proposal_first_component,0,0.37016236986570455,0.8604212571359501,0.001,7,4.1638146401891135e-16,1,1,1.2756687219953164,split_seed_000,"[0.016068126383003995, 0.43, 0.5]",,
split_proposal_first_component,1,0.23877516102490248,0.6910501588523115,0.001,14,4.3300103133370268e-16,1,1,1.2756687219953164,split_seed_000,"[0.028068126383003995, 0.43321775820526626, 0.4999999999999924]",,
split_proposal_first_component,2,0.18517159336853278,0.6085582854066367,0.0003,21,4.622403566788696e-16,1,1,1.2756687219953164,split_seed_000,"[0.040068126383004, 0.42961513022712466, 0.5000000000000043]",,
split_proposal_first_component,3,0.18372488450031574,0.6061763514033118,8.999999999999999e-05,28,4.722279010234229e-16,1,1,1.2756687219953164,split_seed_000,"[0.04073897390213237, 0.4319734455666874, 0.5000000000000006]",,
split_proposal_first_component,4,0.1835923658996123,0.6059576980278609,2.6999999999999996e-05,35,4.626654479489503e-16,1,1,1.2756687219953164,split_seed_000,"[0.04048554428083066, 0.4312728304709349, 0.49999999999999806]",,
split_proposal_first_component,5,0.18358012104039498,0.6059374902420132,8.099999999999999e-06,42,4.631025440269158e-16,1,1,1.2756687219953164,split_seed_000,"[0.04059188621237896, 0.43148073650761776, 0.4999999999999976]",,
split_proposal_first_component,6,0.18357893680638837,0.6059355358557349,2.4299999999999996e-06,49,4.731620117387383e-16,1,1,1.2756687219953164,split_seed_000,"[0.04055718626176948, 0.43141673175907436, 0.4999999999999994]",,
split_proposal_first_component,7,0.18357882275066786,0.6059353476249224,7.289999999999998e-07,56,4.70980719601531e-16,1,1,1.2756687219953164,split_seed_000,"[0.04056836333567982, 0.4314364548129994, 0.49999999999999867]",,
split_proposal_first_component,8,0.18357881178891217,0.6059353295342863,2.1869999999999994e-07,63,4.721503495587486e-16,1,1,1.2756687219953164,split_seed_000,"[0.04056485725014329, 0.4314303408696219, 0.49999999999999944]",,
split_proposal_first_component,9,0.1835788107168573,0.6059353277650302,6.560999999999998e-08,70,4.668798815668094e-16,1,1,1.2756687219953164,split_seed_000,"[0.04056595238946346, 0.43143223747860554, 0.5000000000000003]",,
split_proposal_first_component,10,0.18357881061802445,0.6059353276019221,1.9682999999999992e-08,77,4.665994612998786e-16,1,1,1.2756687219953164,split_seed_000,"[0.04056561160072946, 0.4314316486203842, 0.5000000000000006]",,
post_topology_k1,0,0.09539873737937357,0.43680370277591174,0.001,13,5.94309713455035e-16,2,1,2.611013774003368,split_seed_000,"[0.04056561160072946, 0.4314316486203842, 0.5000000000000006]",td_birth_001,"[0.015621702193025446, 0.5733333333333333, 0.5000000000000001]"
post_topology_k1,1,0.017134928760743098,0.1851211968454347,0.001,26,5.999493393407748e-16,2,1,2.611013774003368,split_seed_000,"[0.03639801983766209, 0.43039096000193955, 0.4999999999999999]",td_birth_001,"[0.027621702193025448, 0.5675551511321681, 0.49999999999999795]"
post_topology_k1,2,0.0004253629764176238,0.029167206805507575,0.0003,39,5.994872260167348e-16,2,1,2.611013774003368,split_seed_000,"[0.03519393961701746, 0.43008555861750575, 0.49999999999999983]",td_birth_001,"[0.03460398163513366, 0.5712220695753321, 0.5000000000000007]"
post_topology_k1,3,1.6174582521929114e-07,0.0005687632639671642,8.999999999999999e-05,52,6.04179274118797e-16,2,1,2.611013774003368,split_seed_000,"[0.03499725456109053, 0.4299984848289141, 0.5000000000000001]",td_birth_001,"[0.03498186324279589, 0.569989330508451, 0.49999999999999994]"
post_topology_k1,4,1.858500635834452e-14,1.927952611364943e-07,2.6999999999999996e-05,65,5.992143758381364e-16,2,1,2.611013774003368,split_seed_000,"[0.03500000047133517, 0.4300000003716751, 0.5]",td_birth_001,"[0.034999997257441164, 0.5700000080439407, 0.5]"
