iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_semi_axis_x,raw_log_semi_axis_y,gradient_center_x,gradient_center_y,gradient_log_semi_axis_x,gradient_log_semi_axis_y,step_center_x,step_center_y,step_log_semi_axis_x,step_log_semi_axis_y
0,0.8094130950280837,0.9272359501417103,0.48,0.52,0.05230678732248808,0.001,9,4.928171629730166e-16,1.3136515468358994,1.1666207620874047,0.0,0.48,0.52,-2.631089159966082,-3.270169119255751,-24.115929747337873,34.61256558672844,1.1371986859556706,0.36088842785076475,0.0,0.0,0.0,0.0
1,0.2544521115659809,0.5215947017664174,0.49,0.51,0.04904508414722668,0.001,18,4.857964992317083e-16,1.2212218372151256,1.085474669933319,0.13572224881500006,0.49,0.51,-2.731089159966082,-3.2989414785392097,-14.218099417049444,18.628673332622487,0.531797016478663,-0.061956299733848565,0.010000000000000009,-0.010000000000000009,-0.10000000000000009,-0.02877235928345856
2,0.04366883212665344,0.21725431496805067,0.49978646191980314,0.5029522477959227,0.04904508414722668,0.0003,27,4.925373728671186e-16,1.2126229852437973,1.0776759218424559,0.13492441084235907,0.49978646191980314,0.5029522477959227,-2.831089159966082,-3.1989414785392096,-0.7614895320561558,5.120380652308487,0.22934290552492395,-0.15677822950237194,0.009786461919803147,-0.007047752204077273,-0.10000000000000009,0.10000000000000009
3,0.008312858578876437,0.09454896492155733,0.4997238601646498,0.500221430547306,0.04904508414722668,8.999999999999999e-05,36,4.644909347764058e-16,1.171984277665615,1.0425786077976227,0.1293836012482643,0.4997238601646498,0.500221430547306,-2.931089159966082,-3.0989414785392095,-0.4438973670526727,0.39364180519835235,0.056619879195719446,-0.11632499558141031,-6.260175515332422e-05,-0.0027308172486167903,-0.10000000000000009,0.10000000000000009
4,7.047850546410444e-05,0.008153179224092496,0.5000080662383766,0.5000187112542444,0.04980077761966939,2.6999999999999996e-05,45,4.623281625520244e-16,1.1720369886606932,1.041980555281043,0.13003324624150991,0.5000080662383766,0.5000187112542444,-3.0005078819020734,-2.9989414785392094,0.013375160441209274,0.030976138022029823,-0.01289946118671086,-0.01117712642611979,0.000284206073726756,-0.00020271929306159286,-0.06941872193599119,0.10000000000000009
5,7.483655442814997e-06,0.0027162032530164736,0.4999999810674086,0.49999992403277393,0.05005790074420881,8.099999999999999e-06,54,4.974511898920891e-16,1.2083928734064102,1.0749661047011614,0.1334041180089116,0.4999999810674086,0.49999992403277393,-2.9945638992821038,-2.994585958021632,-3.15048423380369e-05,-0.00012641787232572964,6.287031436922916e-05,3.803947700680376e-05,-8.085170967953026e-06,-1.878722147041767e-05,0.0059439826199696455,0.0043555205175773715
6,7.482441178369464e-06,0.0027130826360759275,0.4999999999894279,0.49999999995485006,0.05005683645369093,2.4299999999999996e-06,63,4.803306927190419e-16,1.2333020344376564,1.1008720761165023,0.13240612670779228,0.4999999999894279,0.49999999995485006,-2.994596178856338,-2.9945962012786094,-1.7591208851565343e-08,-7.513400517977081e-08,-1.0689222223158276e-08,-3.592614707275169e-08,1.8922019284772773e-08,7.592207612594493e-08,-3.2279574234461705e-05,-1.0243256977293669e-05
7,7.482441178304384e-06,0.0027130839743581773,0.49999999999999306,0.4999999999999751,0.05005683694536885,7.289999999999998e-07,72,4.901465398040159e-16,1.5406196899712086,1.3694593869149685,0.17113314475864172,0.49999999999999306,0.4999999999999751,-2.9945961802341086,-2.994596180256053,-1.1001914657082779e-11,-4.267006886715663e-11,2.4023904346165848e-11,-7.194612608582215e-13,1.0565159858089146e-11,4.512501483588949e-11,-1.3777703422590548e-09,2.1022556584426866e-08
