iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_semi_axis_x,raw_log_semi_axis_y,gradient_center_x,gradient_center_y,gradient_log_semi_axis_x,gradient_log_semi_axis_y,step_center_x,step_center_y,step_log_semi_axis_x,step_log_semi_axis_y
0,0.8113767733997265,0.9282925921930794,0.48,0.52,0.05230678732248808,0.001,9,4.597669472484615e-16,1.041431779973209,0.9172159293666482,0.0,0.48,0.52,-2.631089159966082,-3.270169119255751,-24.106855251637985,34.65035239479057,1.1458522912146705,0.3594872964466177,0.0,0.0,0.0,0.0
1,0.2552219132045057,0.5224146993459337,0.49,0.51,0.049067918887988476,0.001,18,4.827393393591704e-16,0.948179011233151,0.8428007606416941,0.10535535868257284,0.49,0.51,-2.731089159966082,-3.2980105217661957,-14.23293185367573,18.664280556293285,0.5400019595373123,-0.06012545776267074,0.010000000000000009,-0.010000000000000009,-0.10000000000000009,-0.027841402510444535
2,0.043817583499435424,0.21770861236365746,0.49976802653800023,0.5029662935202691,0.049067918887988476,0.0003,27,4.823733691350018e-16,0.948841574601829,0.844089487567544,0.10472926683723927,0.49976802653800023,0.5029662935202691,-2.831089159966082,-3.1980105217661956,-0.7916316695001022,5.153989898751081,0.2353521108728609,-0.15412108757503315,0.00976802653800024,-0.007033706479730895,-0.10000000000000009,0.10000000000000009
3,0.008161385345600458,0.09383711723512782,0.4997248347419447,0.5002282081307621,0.049067918887988476,8.999999999999999e-05,36,4.844379988986625e-16,0.8997539011761546,0.7998855942860246,0.09984365571290255,0.4997248347419447,0.5002282081307621,-2.931089159966082,-3.0980105217661955,-0.4433226316156025,0.40540731210418735,0.06064130226834645,-0.11319915593497357,-4.319179605555279e-05,-0.002738085389507039,-0.10000000000000009,0.10000000000000009
4,3.962842841398455e-05,0.006308921379586952,0.5000073714081588,0.5000190111441463,0.04980432471789213,2.6999999999999996e-05,45,4.640248662129512e-16,0.8944561947137117,0.795899904333055,0.0985327921807766,0.5000073714081588,0.5000190111441463,-3.0012963922284297,-2.9980105217661954,0.012249758854508512,0.031476589183792134,-0.011044043503333927,-0.007397890064123015,0.0002825366662140838,-0.00020919698661581165,-0.07020723226234749,0.10000000000000009
5,6.572541474349953e-10,2.6318000710386117e-05,0.5000000001760001,0.499999926572729,0.05000051632711569,8.099999999999999e-06,54,4.811559181271378e-16,0.9173045558854938,0.816518877632916,0.10076321288943291,0.5000000001760001,0.499999926572729,-2.995703139462818,-2.9957407546671733,2.939048699920141e-07,-0.00012209551114213314,4.576278245331096e-05,3.2650359070455996e-06,-7.371232158659424e-06,-1.9084571417249396e-05,0.005593252765611734,0.0022697670990221575
6,4.646388716880263e-19,7.115130256625281e-10,0.5000000000007914,0.4999999999984606,0.049999999999433206,2.4299999999999996e-06,63,4.860646849895047e-16,0.9149164827540517,0.811118857935071,0.10377447213977575,0.5000000000007914,0.4999999999984606,-2.995732272926623,-2.995732274204031,1.3177733048987604e-09,-2.5679527615807896e-09,6.931607301796123e-10,-7.514026000537479e-10,-1.7520873640819445e-10,7.342573160595833e-08,-2.9133463804953408e-05,8.480463142390704e-06
