case,frequency_hz,bessel_terms,data_error,physical_residual
star,2500000000.0,28,9.14547565585911e-13,2.488713885277378e-08
star,2500000000.0,48,9.14629120896877e-13,2.4887138857908907e-08
star,5000000000.0,28,0.2536285031688004,0.13331169196935055
star,5000000000.0,48,2.6223028186233235e-08,1.1520986619587256e-05
star,8000000000.0,28,1.1452342469957633,1.8644902610867549
star,8000000000.0,48,0.01585186267296241,0.008103128721175154
