case,frequency_hz,components,trace_modes_per_component,native_unknowns,reference_unknowns,oracle_256_512_error,data_error,physical_residual,physical_trace_error,native_seconds,boundary_nodes,point_pair_kernel_calls
circle,500000000.0,1,81,162,1024,1.634992034016186e-15,2.9963565731435372e-15,1.7872670798868936e-15,1.9074425877599463e-15,0.06489637307822704,0,0
circle,1250000000.0,1,81,162,1024,6.192395550695744e-15,6.1088083029208974e-15,4.437630716504821e-15,5.962760536646527e-15,0.064564582076855,0,0
ellipse,500000000.0,1,81,162,1024,2.1948969880846197e-15,2.9430328543245886e-15,1.7855821351604738e-15,1.786919448045243e-15,0.08236714487429708,0,0
ellipse,1250000000.0,1,81,162,1024,2.5734304783988526e-15,4.727064645148166e-15,3.6831739625805056e-15,4.398770241166981e-15,0.08361791993957013,0,0
star,500000000.0,1,81,162,1024,2.1667882288842337e-15,3.0627152215680743e-15,1.241647191822432e-08,1.3496223058616363e-08,0.24621509609278291,0,0
star,1250000000.0,1,81,162,1024,9.782122820998917e-15,4.811189391883357e-15,3.8598832163145706e-08,4.358683540081379e-08,0.24132000899408013,0,0
ellipse_star,500000000.0,2,81,324,2048,2.159940968779479e-15,2.9161762531031692e-15,8.853072511333496e-09,9.587121237041001e-09,0.3352867900393903,0,0
ellipse_star,1250000000.0,2,81,324,2048,9.306329443967451e-15,4.850426408440449e-15,2.7448994782928512e-08,3.176960717245512e-08,0.3240752670681104,0,0
