assembly_seconds,curve,decomposition_seconds,offline_seconds,samples,stride
0.45410220952189717,ellipse,0.01966324297245592,5.014787547713325,11,16
0.45410220952189717,ellipse,0.04522204294335097,9.581368442903191,21,8
0.45410220952189717,ellipse,0.12891937501262873,18.747109965410413,41,4
0.45410220952189717,ellipse,0.4690843530697748,37.251363324343444,81,2
0.45410220952189717,ellipse,1.1088066860102117,74.21926241903566,161,1
0.45855566113030316,kite,0.011233665980398655,5.055345938413733,11,16
0.45855566113030316,kite,0.03961019893176854,9.669279082668135,21,8
0.45855566113030316,kite,0.11933818506076932,18.920120291403197,41,4
0.45855566113030316,kite,0.4578822209732607,37.60089077252782,81,2
0.45855566113030316,kite,1.083269122056663,74.91073056403548,161,1
0.45677765555931427,crescent,0.01071358798071742,5.035267799133174,11,16
0.45677765555931427,crescent,0.04049492999911308,9.632825696744712,21,8
0.45677765555931427,crescent,0.1227148249745369,18.85059870290642,41,4
0.45677765555931427,crescent,0.44974587904289365,37.44873597934735,81,2
0.45677765555931427,crescent,1.080057349987328,74.62125989503693,161,1
