method,noise_fraction,cases,recovered,converged,median_shape_radial_rms_mm,min_shape_radial_rms_mm,max_shape_radial_rms_mm,median_boundary_rms_mm,median_unmeasured_field_error,median_total_seconds,physical_bound_hits,calibration_bound_hits
uniform,0.01,10,7,10,0.38344192709804115,0.193119916347173,0.7801472324719116,1.3493906242540148,0.008587198261562193,1.1166390075231902,0,0
known_gain_design,0.01,10,5,10,0.5298223216980482,0.25106978027956156,2.0175737043648327,3.814486589479885,0.009174734879576466,1.565775028488133,2,0
quotient_design,0.01,10,5,10,0.46724570255927883,0.11463210183642872,0.806184661884826,2.060878291704463,0.008365251268468073,1.138765828567557,0,0
random,0.01,10,8,10,0.39310688374473546,0.14986434052745073,0.7445294076126282,3.205615528923059,0.00800826129638963,1.369723120937124,1,0
oracle_calibration,0.01,10,10,10,0.02675417851299071,0.015498918927820262,0.05877599855114198,0.06391107585217026,0.0020132326676008897,0.5183638230664656,0,0
