iteration,loss,relative_l2_error,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1.420302784393433,1.191205302458398,0.0,0.0,0.0,0.1350934500676479,0.5892322856901844,2.2462818746998153e-08,0,initialized,1,2.3270091364966893e-15
1,1.303599256345624,1.1428157922222364,0.004,0.003794130006370956,0.0001272578886644836,0.14304730539372995,0.5927905466537554,1.5503369155296653e-08,100,distance_boundary_and_eikonal_tolerances,25,2.8102867392357e-15
2,1.206045696143272,1.1002677545714257,0.004,0.003407071587943451,0.000132110378517957,0.1512849253337899,0.5918169018686283,2.4150886507659508e-08,100,distance_boundary_and_eikonal_tolerances,49,2.829830963638509e-15
3,1.118613164376876,1.0602250077771938,0.004,0.003028070005563346,0.00011590147017879648,0.1624319103359203,0.5911324484783022,1.827174169171525e-08,100,distance_boundary_and_eikonal_tolerances,73,3.0223483452094917e-15
4,1.0347521164851807,1.0200268631662635,0.004,0.003146479657777729,0.00012154754132622425,0.17493920829849238,0.6050275312736808,2.9407163114336665e-08,100,distance_boundary_and_eikonal_tolerances,97,3.1706526323005865e-15
5,0.9477698751059584,0.976299269681226,0.004,0.002775198512491856,0.00011094733715471245,0.18471203837323338,0.6145787031044032,6.881623599436226e-08,100,distance_boundary_and_eikonal_tolerances,121,3.1706526323005865e-15
6,0.8510375028301812,0.9249257083965261,0.004,0.003042913185535722,0.0001603047579767259,0.19577198884960145,0.8086679077526748,7.199789996484296e-08,100,distance_boundary_and_eikonal_tolerances,145,3.1706526323005865e-15
