iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_radius,gradient_center_x,gradient_center_y,gradient_log_radius,step_center_x,step_center_y,step_log_radius
0,0.9186443695908505,0.9741307421104555,0.48,0.52,0.06499999999999999,0.001,7,6.750205594671005e-16,0.9086331212893128,0.778074030764401,0.0,0.48,0.52,-2.7333680090865,-30.587296568419124,30.587296552969768,2.039310859847103,0.0,0.0,0.0
1,0.2605380935665458,0.5197690610074576,0.49,0.51,0.05881443217233736,0.001,14,5.507523003553902e-16,0.8147070221602917,0.6988465879112482,0.11584167368710041,0.49,0.51,-2.8333680090865,-17.664357885728077,17.66435788569695,1.1585569882952091,0.010000000000000009,-0.010000000000000009,-0.10000000000000009
2,0.016456547916809235,0.1296469016858322,0.4980978428146974,0.5019021571852572,0.05321749895006881,0.0003,21,4.915988423218842e-16,0.7245411826297641,0.6208795374259353,0.10364173259586096,0.4980978428146974,0.5019021571852572,-2.9333680090865,-3.331724007994561,3.3317240078936448,0.34393378515705153,0.008097842814697387,-0.008097842814742795,-0.10000000000000009
3,3.2057708283637404e-05,0.005752464315655279,0.49989539154457574,0.5001046084554076,0.05012057926756854,8.999999999999999e-05,28,4.883066143305784e-16,0.6898406781256199,0.5904782526195049,0.09934358485043049,0.49989539154457574,0.5001046084554076,-2.993323591407959,-0.1743367571067339,0.17433675710746402,0.011513069835732935,0.0017975487298783621,-0.0017975487298496073,-0.05995558232145859
4,8.353770619407139e-11,9.387378388357074e-06,0.49999978333871814,0.5000002166609627,0.05000007599480634,2.6999999999999996e-05,35,4.625975814407358e-16,0.6766600515693426,0.5799822909757495,0.09665871318429708,0.49999978333871814,0.5000002166609627,-2.995730753659019,-0.0003602586581289334,0.0003602601224830636,7.2157118643242155e-06,0.00010439179414239996,-0.00010439179444488023,-0.002407162251060413
5,7.097487798162055e-21,8.647850444934753e-11,0.49999999999751654,0.5000000000012838,0.050000000000800834,8.099999999999999e-06,42,4.704901686797396e-16,0.675219627097249,0.577679262496531,0.09752052836120129,0.49999999999751654,0.5000000000012838,-2.9957322735379743,-4.126132896158804e-09,2.1381484072834345e-09,7.568708438378529e-11,2.1665879840204738e-07,-2.1665967897543936e-07,-1.519878955136278e-06
