recovered_component,truth_component,symmetric_hausdorff_m,center_distance_m,maximum_mode
split_seed_000,truth_A,8.420545372089805e-10,3.739855092277737e-10,1
td_birth_001,truth_B,1.0828871466195267e-08,8.04774757945384e-09,1
