stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
pre_topology,0,0.8554648253938972,1.308025095626148,0.001,7,4.583158551279219e-16,1,2,2.2577172619930934,far_initial,"[0.5, 0.66, 0.035, -4.328338360469475e-18, 5.504633770412387e-20, -1.3437708546514082e-19, 4.1555436392295975e-18, 0.035, 2.0017102570169636e-19, 4.133285636514584e-18]",,
pre_topology,1,0.5515939989452792,1.0503275669478347,0.001,14,4.1970202572256136e-16,1,2,2.2577172619930934,far_initial,"[0.500000351737534, 0.6500047604887034, 0.023000000000000007, -1.871507496763309e-18, -1.4640291035146017e-19, 1.6548992290615449e-19, 2.2961771662694886e-18, 0.023000000000000003, 3.7360760485462325e-19, 2.3674265590820788e-18]",,
pre_topology,2,0.4593584095956591,0.958497167023105,0.0003,21,4.1018159851598195e-16,1,2,2.2577172619930934,far_initial,"[0.5000005708004831, 0.6250047604887033, 0.012783962203828086, 2.200822501053498e-19, -3.179040046969818e-19, 4.2077764718500076e-19, 7.132306525448758e-19, 0.012783962203828079, 5.21260492176712e-19, 8.640863026017658e-19]",,
pre_topology,3,0.4381054306736957,0.9360613555464146,8.999999999999999e-05,29,4.1819965705133214e-16,1,2,2.2577172619930934,far_initial,"[0.5000002237622084, 0.6129335367645535, 0.01859942661235293, -9.705521203653643e-19, -2.2027726034770326e-19, 2.7545548764549323e-19, 1.6143206147035335e-18, 0.018599426612352928, 4.372093044100329e-19, 1.7198605205417038e-18]",,
pre_topology,4,0.43293707763967193,0.9305235920057824,2.6999999999999996e-05,36,4.232533778656401e-16,1,2,2.2577172619930934,far_initial,"[0.5000000704528993, 0.6248153548366571, 0.022716699074457607, -1.8135056252975517e-18, -1.5115880688679074e-19, 1.7256930632375597e-19, 2.2522804793768134e-18, 0.022716699074457607, 3.7770216680436753e-19, 2.325737433164239e-18]",,
pre_topology,5,0.42872971183300845,0.925991049452432,8.099999999999999e-06,43,4.4284703107831777e-16,1,2,2.2577172619930934,far_initial,"[0.500000046674432, 0.6154379491249211, 0.022952768643899127, -1.861837542313031e-18, -1.4719580378239077e-19, 1.6667018336076196e-19, 2.2888587996022875e-18, 0.022952768643899127, 3.7429024192386406e-19, 2.3604762325062297e-18]",,
pre_topology,6,0.42767826721203916,0.9248548720875498,2.4299999999999996e-06,50,4.443110209074723e-16,1,2,2.2577172619930934,far_initial,"[0.5000000251750091, 0.6200114639675289, 0.023151016667641636, -1.9024260309296437e-18, -1.4386772750643793e-19, 1.6171617987782963e-19, 2.3195767769920728e-18, 0.023151016667641636, 3.7142495366871995e-19, 2.389649405198627e-18]",,
pre_topology,7,0.42741065030021685,0.9245654658272898,7.289999999999998e-07,57,4.466894816950885e-16,1,2,2.2577172619930934,far_initial,"[0.5000000171950317, 0.6177452570038325, 0.02337116343070551, -1.947497977766338e-18, -1.4017202751634728e-19, 1.56214950607614e-19, 2.3536879028563776e-18, 0.02337116343070551, 3.6824316187727096e-19, 2.4220450851922703e-18]",,
pre_topology,8,0.4273499348066423,0.9244997942743332,2.1869999999999994e-07,64,4.3792493933225624e-16,1,2,2.2577172619930934,far_initial,"[0.500000011623991, 0.6188081061628583, 0.02335120281811602, -1.94341132367731e-18, -1.405071150494207e-19, 1.56713744706153e-19, 2.350595061703991e-18, 0.02335120281811602, 3.685316535743808e-19, 2.4191077827812484e-18]",,
pre_topology,9,0.4273370964185127,0.9244859073220236,6.560999999999998e-08,71,4.288511606995722e-16,1,2,2.2577172619930934,far_initial,"[0.5000000093937642, 0.6183184138750369, 0.023382483452621873, -1.949815592701501e-18, -1.399819933577619e-19, 1.559320755153842e-19, 2.355441908625083e-18, 0.023382483452621873, 3.6807955305417846e-19, 2.4237108821470824e-18]",,
