factor,radius_m,production_loss,refined_loss,production_delta,refined_delta,accepted,rejection_reason
1.0,0.015621702193025446,0.09539873875984681,0.09539873875984661,-0.08818007185805807,-0.08818007185805848,True,
0.75,0.011716276644769085,0.12775674553825017,0.12775674553825017,-0.055822065079654704,-0.055822065079654926,True,
0.5,0.007810851096512723,0.15643890690103945,0.15643890690103926,-0.02713990371686542,-0.027139903716865837,True,
0.35,0.005467595767558906,0.1697511706920925,0.16975117069209242,-0.013827639925812374,-0.01382763992581268,True,
