factor,radius_m,production_loss,refined_loss,production_delta,refined_delta,accepted,rejection_reason
1.0,0.00531923040535247,0.7871342103621226,0.7871259425823263,-0.04596684426358255,-0.04596726055495115,True,
0.75,0.003989422804014353,,,,,False,below_minimum_radius
0.5,0.002659615202676235,,,,,False,below_minimum_radius
0.35,0.0018617306418733644,,,,,False,below_minimum_radius
