recovered_component,truth_component,symmetric_hausdorff_m,center_distance_m,maximum_mode
split_seed_000,truth_star,0.05543893324299076,0.032395477841422174,5
td_birth_001,truth_ellipse,0.14219407281173183,0.12605575064168,5
