agreement,coupling_dimension,coupling_solve,cutoff,gap_wavelengths,kd,local_build,local_total,monolithic_assemble,monolithic_dimension,monolithic_factor,monolithic_solve,monolithic_total,objects,optimisation_step_local,optimisation_step_monolithic,order
2.2405652137533332e-08,58,0.001866061007604003,35,1.0,10.0,0.9388725949684158,0.9407386559760198,1.156758708995767,284,0.0015476970002055168,0.000586590962484479,1.158892996958457,2,0.4733926919288933,1.1379080329788849,14
2.0186089939932644e-08,87,0.003695497987791896,35,1.0,10.0,1.4111812899354845,1.4148767879232764,2.023935763980262,426,0.0037127850810065866,0.0009210029384121299,2.0285695519996807,3,0.47565390111412853,2.047328893910162,14
1.8631905555406542e-08,116,0.006053781951777637,35,1.0,10.0,1.888722297968343,1.8947760799201205,3.143885347060859,568,0.008189194952137768,0.0017320970073342323,3.153806639020331,4,0.4777704649604857,3.1641980150016025,14
2.0540488745058493e-08,174,0.012530965963378549,35,1.0,10.0,2.8201052610529587,2.832636227016337,5.9332842050353065,852,0.025923712993972003,0.0036729329731315374,5.96288085100241,6,0.4829031120752916,5.831971924984828,14
1.9499815419546016e-08,232,0.021989400032907724,35,1.0,10.0,3.760491764987819,3.7824811650207266,8.709795275935903,1136,0.05997794808354229,0.006179085001349449,8.775952309020795,8,0.48805157211609185,8.619756859960034,14
1.9662829693886866e-08,348,0.04589947697240859,35,1.0,10.0,5.599793378962204,5.6456928559346125,16.398811931954697,1704,0.1853763519320637,0.01287043106276542,16.597058714949526,12,0.5115135119995102,16.845172523986548,14
2.04179840059868e-08,464,0.0799557319842279,35,1.0,10.0,7.391279152943753,7.471234884927981,26.932205326040275,2272,0.42744454403873533,0.022377287968993187,27.382027158048004,16,0.5424500779481605,26.699386529973708,14
