status,shape,source_kind,num_nodes,frequency_ghz,frequency_hz,reference_kind,reference_nodes,receiver_absolute_error_l2,receiver_relative_error_l2,receiver_mixed_relative_error_l2,receiver_max_absolute_error,receiver_adjacent_relative_difference,receiver_error_ratio_to_previous,receiver_reference_l2,receiver_observed_l2,trace_reference_kind,dirichlet_trace_relative_error_l2,neumann_trace_relative_error_l2,maximum_trace_relative_error_l2,condition_number_2,linear_system_relative_residual,maximum_per_source_residual,incident_representation_leak,circle_delta_v_scaled_action_error,circle_delta_k_scaled_action_error,circle_delta_kp_scaled_action_error,circle_delta_t_scaled_action_error,circle_max_scaled_block_action_error,overlap_pair_count,overlap_max_relative_error,near_pair_count,direct_pair_count,minimum_speed,speed_ratio,area,perimeter,retained_block_bytes,retained_system_matrix_bytes,retained_core_dense_bytes,k_exterior_real,k_exterior_imag,k_interior_real,k_interior_imag,block_build_seconds,matrix_composition_seconds,system_assembly_seconds,condition_seconds,solve_seconds,receiver_seconds,forward_total_seconds,measured_total_seconds,reference_seconds,reference_relative_residual,reference_incident_consistency,timing_repeats,largest_n_gate,failure_reason
ok,frozen-circle__g257x257__m256__b__k004,frozen_fourier_npz_normalized,128,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,1.8065735494902898e-14,4.646215545990569e-13,4.646215545990569e-13,8.006360059299972e-15,,,0.03888268918236616,0.03888268918237992,nystrom_ref_periodic_resample,6.915581643653234e-14,3.899092148162086e-13,3.899092148162086e-13,119.34222553393711,6.235841545096705e-16,6.695433725741225e-16,1.0260048219891639e-16,,,,,,256,6.244114967538296e-15,3072,13184,0.04999999999998919,1.0000000000003944,0.00785398163397448,0.31415926535897937,1048576,1048576,2097152,25.668754417769875,0.0,18.150550313417227,0.0,0.03608173877000809,0.00012005679309368134,0.0362217091023922,0.008583848364651203,0.001614524982869625,0.0009216656908392906,0.03989319410175085,0.048468513414263725,0.6385002695024014,6.563888837263645e-16,8.8802152197307e-16,3,diagnostic,
ok,frozen-circle__g257x257__m256__b__k004,frozen_fourier_npz_normalized,256,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,1.8062376256876034e-14,4.645351604196032e-13,4.645351604196032e-13,8.003897613746639e-15,1.1411581276182934e-15,0.9998140547320747,0.03888268918236616,0.038882689182379915,nystrom_ref_periodic_resample,6.918032545010563e-14,3.864210657469974e-13,3.864210657469974e-13,119.3422255339371,6.248839942916177e-16,6.721952811649205e-16,7.243085477758042e-17,,,,,,256,9.93627842950127e-15,12288,52992,0.049999999999989185,1.0000000000003948,0.00785398163397449,0.3141592653589793,4194304,4194304,8388608,25.668754417769875,0.0,18.150550313417227,0.0,0.1353828413411975,0.000610794872045517,0.135919694788754,0.053342459723353386,0.010947616770863533,0.001458803191781044,0.1499056052416563,0.2031161841005087,0.6385002695024014,6.563888837263645e-16,8.8802152197307e-16,3,pass,
ok,frozen-circle__g257x257__m256__b__k004,frozen_fourier_npz_normalized,128,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,3.2157379900583077e-13,4.924988022831196e-12,4.924988022831196e-12,1.441736644184442e-13,,,0.06529433117706746,0.0652943311770567,nystrom_ref_periodic_resample,3.6954682112887515e-12,5.252896983943856e-12,5.252896983943856e-12,12056.462541495797,3.0454814926444567e-15,3.8757425418014495e-15,7.7169073596245585e-16,,,,,,256,5.53530761461835e-15,512,15744,0.04999999999998919,1.0000000000003944,0.00785398163397448,0.31415926535897937,1048576,1048576,2097152,128.34377208884936,0.0,90.75275156708614,0.0,0.06491174548864365,0.00011536106467247009,0.06504964362829924,0.007676363922655582,0.0016318904235959053,0.0007254993543028831,0.06818539369851351,0.0759427472949028,1.091487804427743,4.294414634783064e-15,7.778437566591162e-16,3,diagnostic,
ok,frozen-circle__g257x257__m256__b__k004,frozen_fourier_npz_normalized,256,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,3.215420942298328e-13,4.924502455777726e-12,4.924502455777726e-12,1.4424879004841599e-13,1.4664328647764752e-14,0.9999014074651108,0.06529433117706746,0.06529433117705688,nystrom_ref_periodic_resample,3.693318581349008e-12,5.2529650838414035e-12,5.2529650838414035e-12,12056.462541495646,4.403109030294086e-15,4.658336066606541e-15,5.096887591927008e-16,,,,,,256,6.66659909318925e-15,2048,63232,0.049999999999989185,1.0000000000003948,0.00785398163397449,0.3141592653589793,4194304,4194304,8388608,128.34377208884936,0.0,90.75275156708614,0.0,0.2551041208207607,0.0006234776228666306,0.255735183134675,0.05053688772022724,0.010942812077701092,0.001082269474864006,0.26911089569330215,0.31961878202855587,1.091487804427743,4.294414634783064e-15,7.778437566591162e-16,3,pass,
ok,frozen-circle__g257x257__m256__b__k004,frozen_fourier_npz_normalized,128,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,4.743073779735856e-11,1.8439294833143895e-09,1.8439294833143895e-09,2.0559990213800625e-11,,,0.025722641904995035,0.02572264187322202,nystrom_ref_periodic_resample,8.981086458263308e-10,1.0228217178875875e-09,1.0228217178875875e-09,505739.041064217,7.542088631270326e-15,9.413003662389354e-15,3.0711826455243786e-15,,,,,,256,2.4141296285370154e-15,0,16256,0.04999999999998919,1.0000000000003944,0.00785398163397448,0.31415926535897937,1048576,1048576,2097152,410.700070684318,0.0,290.40880501467564,0.0,0.05376670882105827,0.0001217694953083992,0.0539599759504199,0.007686304859817028,0.0016241632401943207,0.0006913254037499428,0.05706048849970102,0.06477403920143843,0.8929277677088976,3.38080729322111e-14,1.5813495969323947e-14,3,diagnostic,
ok,frozen-circle__g257x257__m256__b__k004,frozen_fourier_npz_normalized,256,8.0,8000000000.0,independent_nystrom_ref_frozen_high_N,512,4.7431132043738266e-11,1.8439448101373948e-09,1.8439448101373948e-09,2.0560182215164825e-11,5.869301704053114e-14,1.0000083120440038,0.025722641904995035,0.02572264187322156,nystrom_ref_periodic_resample,8.980999337091231e-10,1.0228218378097535e-09,1.0228218378097535e-09,505739.04106403614,1.2249031225206243e-14,1.3722001457051094e-14,3.914173453214187e-15,,,,,,256,8.633147257064131e-15,512,64768,0.049999999999989185,1.0000000000003948,0.00785398163397449,0.3141592653589793,4194304,4194304,8388608,410.700070684318,0.0,290.40880501467564,0.0,0.2110038949176669,0.0007033795118331909,0.21173488907516003,0.04967865254729986,0.011015000753104687,0.0010130181908607483,0.2251117303967476,0.2748329686000943,0.8929277677088976,3.38080729322111e-14,1.5813495969323947e-14,3,pass,
ok,frozen-radial_fourier_star__g257x257__m256__b__k032,frozen_fourier_npz_normalized,128,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,7.422178515579748e-14,1.9368834309351587e-12,1.9368834309351587e-12,3.177972260120152e-14,,,0.03832021275537578,0.03832021275542342,nystrom_ref_periodic_resample,1.3764527492625545e-11,4.319057958007636e-11,4.319057958007636e-11,84.78594428831468,5.712390597288068e-16,6.382337028648214e-16,6.0615610111242925e-16,,,,,,256,9.069797537415795e-15,2760,13496,0.05791247493342554,1.0114458764651781,0.007783290202175341,0.3660948820720989,1048576,1048576,2097152,25.668754417769875,0.0,18.150550313417227,0.0,0.03581478726118803,0.00010733120143413544,0.03593551926314831,0.008562412112951279,0.0015871096402406693,0.000895175151526928,0.039246296510100365,0.04783208481967449,0.639033067971468,6.206549775746301e-16,1.9957729740635443e-15,3,diagnostic,
ok,frozen-radial_fourier_star__g257x257__m256__b__k032,frozen_fourier_npz_normalized,256,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,7.422092818254801e-14,1.936861067456779e-12,1.936861067456779e-12,3.1808235455940444e-14,8.582623824982587e-15,0.9999884538852352,0.03832021275537578,0.03832021275542341,nystrom_ref_periodic_resample,1.2235979281602958e-12,5.815315185899509e-12,5.815315185899509e-12,84.78594428830905,6.093481338772914e-16,6.926515229573418e-16,1.3694202274643405e-16,,,,,,256,8.518935365239982e-15,11280,54000,0.05791247493342554,1.0114458764651781,0.007783290202175341,0.36609488207209895,4194304,4194304,8388608,25.668754417769875,0.0,18.150550313417227,0.0,0.13550027646124363,0.000463913194835186,0.1361026745289564,0.053889138624072075,0.010682282969355583,0.0014370391145348549,0.1498816031962633,0.2035135319456458,0.639033067971468,6.206549775746301e-16,1.9957729740635443e-15,3,pass,
ok,frozen-radial_fourier_star__g257x257__m256__b__k032,frozen_fourier_npz_normalized,128,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,3.3254476496147447e-12,4.956559132991827e-11,4.956559132991827e-11,1.4393119565387805e-12,,,0.06709185869447042,0.0670918586941216,nystrom_ref_periodic_resample,8.273382868714718e-09,1.220396946721424e-08,1.220396946721424e-08,17263.811722649858,1.771238642101294e-14,2.311573403547992e-14,2.6913771419636295e-12,,,,,,256,4.980473520485613e-15,512,15744,0.05791247493342554,1.0114458764651781,0.007783290202175341,0.3660948820720989,1048576,1048576,2097152,128.34377208884936,0.0,90.75275156708614,0.0,0.06610911805182695,0.00011216755956411362,0.06624026224017143,0.007826643995940685,0.001640194095671177,0.0007291249930858612,0.0693765226751566,0.07723423652350903,1.09057801309973,9.538773509958616e-15,1.3644749135094962e-15,3,diagnostic,
ok,frozen-radial_fourier_star__g257x257__m256__b__k032,frozen_fourier_npz_normalized,256,2.5,2500000000.0,independent_nystrom_ref_frozen_high_N,512,3.1726151216054554e-12,4.728763196222102e-11,4.728763196222102e-11,1.3948051592118192e-12,1.6510729797974404e-11,0.9540415173797745,0.06709185869447042,0.06709185869411675,nystrom_ref_periodic_resample,4.1992795081904135e-11,5.550830764937932e-11,5.550830764937932e-11,17263.811722309674,1.2440264565473877e-14,1.6498664966617375e-14,8.915894163767124e-16,,,,,,256,5.978279387589279e-15,2048,63232,0.05791247493342554,1.0114458764651781,0.007783290202175341,0.36609488207209895,4194304,4194304,8388608,128.34377208884936,0.0,90.75275156708614,0.0,0.2573194783180952,0.0006846645846962929,0.2580297915264964,0.04976202268153429,0.010978463105857372,0.001080765388906002,0.2714985255151987,0.32158608734607697,1.09057801309973,9.538773509958616e-15,1.3644749135094962e-15,3,pass,
